Steps,Policy/Entropy,Environment/Episode Length,Policy/Extrinsic Value Estimate,Environment/Cumulative Reward,Policy/Extrinsic Reward,Is Training
12000,1.4189383,22.365758754863812,0.016457377,1.2360623317387602,1.2360623317387602,1.0
24000,1.4108377,23.79296066252588,0.045378443,1.3780991267566838,1.3780991267566838,1.0
36000,1.3996422,26.814814814814813,0.13166752,1.6817128909406838,1.6817128909406838,1.0
48000,1.3783867,35.60060975609756,0.32862347,2.543902443313017,2.543902443313017,1.0
60000,1.360625,53.97727272727273,0.57812923,4.346154210254618,4.346154210254618,1.0
72000,1.349673,110.80188679245283,0.9968529,10.050001475046265,10.050001475046265,1.0
84000,1.3378707,155.72727272727272,1.2697766,14.568833434736574,14.568833434736574,1.0
96000,1.3278625,467.2962962962963,1.8668664,43.007413890626694,43.007413890626694,1.0
108000,1.3175391,642.6666666666666,2.3574371,66.33334355221854,66.33334355221854,1.0
120000,1.3095679,872.0714285714286,2.87125,83.60001291547503,83.60001291547503,1.0
132000,1.3100536,964.4166666666666,3.4677584,96.45001443227132,96.45001443227132,1.0
144000,1.3042248,999.0,3.9509268,100.00001525878906,100.00001525878906,1.0
156000,1.2992282,977.0,4.5195637,97.71539952204778,97.71539952204778,1.0
168000,1.297662,939.75,4.938008,93.9833475748698,93.9833475748698,1.0
180000,1.2940198,986.2307692307693,5.3058634,98.6384764451247,98.6384764451247,1.0
192000,1.2915779,928.8333333333334,5.648522,92.80001386006673,92.80001386006673,1.0
204000,1.2899302,999.0,5.962597,100.00001525878906,100.00001525878906,1.0
216000,1.2863305,983.6153846153846,6.26917,98.37693786621094,98.37693786621094,1.0
228000,1.2826643,999.0,6.586115,100.00001525878906,100.00001525878906,1.0
240000,1.2804954,999.0,6.8150487,100.00001525878906,100.00001525878906,1.0
252000,1.2815014,999.0,7.1076736,100.00001525878906,100.00001525878906,1.0
264000,1.2819674,999.0,7.3064704,100.00001525878906,100.00001525878906,1.0
276000,1.2841939,999.0,7.500131,100.00001525878906,100.00001525878906,1.0
288000,1.2836468,999.0,7.723755,100.00001525878906,100.00001525878906,1.0
300000,1.2825197,999.0,7.9290204,100.00001525878906,100.00001525878906,1.0
312000,1.2855103,947.3333333333334,8.11621,94.74168109893799,94.74168109893799,1.0
324000,1.2868233,999.0,8.300973,100.00001525878906,100.00001525878906,1.0
336000,1.286583,999.0,8.482192,100.00001525878906,100.00001525878906,1.0
348000,1.287568,987.5,8.640725,98.75834846496582,98.75834846496582,1.0
360000,1.2864581,999.0,8.828769,100.00001525878906,100.00001525878906,1.0
