Steps,Policy/Entropy,Policy/Extrinsic Value Estimate,Environment/Episode Length,Environment/Cumulative Reward,Policy/Extrinsic Reward,Is Training
464000,0.21789661,4.9892464,97.75,1.8090000748634338,1.8090000748634338,1.0
464500,0.23571515,6.1372604,90.5,2.846333426733812,2.846333426733812,1.0
465000,0.24444443,5.359221,99.0,-0.6770000159740448,-0.6770000159740448,1.0
465500,0.21464069,5.274714,89.0,1.2784000158309936,1.2784000158309936,1.0
466000,0.18944895,6.247072,81.8,6.245999914904435,6.245999914904435,1.0
466500,0.26247695,4.865136,99.0,-0.5590000033378602,-0.5590000033378602,1.0
467000,0.29113296,4.679414,98.2,1.3657998383045196,1.3657998383045196,1.0
467500,0.18701515,6.3395143,81.0,7.859833161036174,7.859833161036174,1.0
468000,0.20081422,4.782218,86.2,2.790000090996424,2.790000090996424,1.0
468500,0.2714047,4.9594393,89.16666666666667,3.482399982213974,3.482399982213974,1.0
469000,0.20503049,5.9773426,88.4,2.730499972899755,2.730499972899755,1.0
469500,0.21538164,4.861457,95.33333333333333,1.3454000681638718,1.3454000681638718,1.0
470000,0.24281861,5.5529613,89.2,2.7429999013741813,2.7429999013741813,1.0
470500,0.19220994,5.9301076,78.66666666666667,6.2053333421548205,6.2053333421548205,1.0
471000,0.22376245,5.2124805,94.5,1.3883999913930893,1.3883999913930893,1.0
471500,0.19840512,5.6846557,92.8,1.0439999078710873,1.0439999078710873,1.0
472000,0.22389947,5.1984615,95.0,1.3015998214483262,1.3015998214483262,1.0
472500,0.18975635,5.4002247,83.66666666666667,4.4969999467333155,4.4969999467333155,1.0
473000,0.15324482,6.1500416,76.5,6.16666653752327,6.16666653752327,1.0
473500,0.24110715,5.4855294,90.66666666666667,4.44516654809316,4.44516654809316,1.0
474000,0.1990183,5.904278,85.66666666666667,3.523599863052368,3.523599863052368,1.0
474500,0.20442295,6.042438,86.8,6.071333259344101,6.071333259344101,1.0
475000,0.23142993,4.393678,99.0,-0.6800000131130218,-0.6800000131130218,1.0
475500,0.2351774,5.483873,86.0,4.3844999472300215,4.3844999472300215,1.0
476000,0.19554487,5.011367,97.4,1.3915999352931976,1.3915999352931976,1.0
476500,0.27231714,4.9827394,91.33333333333333,5.1697998046875,5.1697998046875,1.0
477000,0.2061361,4.9817896,90.0,2.7558332135279975,2.7558332135279975,1.0
477500,0.15741552,5.423128,83.5,4.497499965131283,4.497499965131283,1.0
478000,0.17257407,6.1074696,86.16666666666667,7.421600058674812,7.421600058674812,1.0
478500,0.1927098,5.561223,85.0,4.345666706562042,4.345666706562042,1.0
479000,0.2299204,6.0170994,75.71428571428571,6.734571124826159,6.734571124826159,1.0
479500,0.23448388,5.309519,95.2,1.4425999999046326,1.4425999999046326,1.0
480000,0.14970824,6.3171268,90.33333333333333,3.2549997568130493,3.2549997568130493,1.0
480500,0.24351297,4.423921,94.4,1.021499904493491,1.021499904493491,1.0
481000,0.19983156,5.8504605,83.66666666666667,4.463000039259593,4.463000039259593,1.0
481500,0.21671993,5.707196,83.83333333333333,5.349199816584587,5.349199816584587,1.0
482000,0.15574145,6.394808,75.14285714285714,8.156999792371478,8.156999792371478,1.0
482500,0.19232026,5.5530233,85.2,4.411666582028071,4.411666582028071,1.0
483000,0.14875658,6.107913,83.16666666666667,6.117166583736737,6.117166583736737,1.0
483500,0.21054481,5.31983,91.66666666666667,3.2883999764919283,3.2883999764919283,1.0
