Wall time,Step,Value
1589719924.2420456,500,-1.0
1589719934.7520127,1000,-0.7599999904632568
1589719946.323317,1500,-1.0
1589719956.1870255,2000,-0.8600000143051147
1589719967.5581386,2500,-0.9599999785423279
1589719978.29906,3000,-0.9000000357627869
1589719989.899548,3500,1.0141667127609253
1589720000.6568615,4000,1.0131665468215942
1589720011.522665,4500,1.2743998765945435
1589720021.8019364,5000,-0.699999988079071
1589720032.4700027,5500,0.9635999202728271
1589720044.2819502,6000,1.0381666421890259
1589720054.4478905,6500,3.3957998752593994
1589720068.8715854,7000,-0.5800000429153442
1589720080.5937686,7500,4.369999885559082
1589720094.0721595,8000,4.4101667404174805
1589720107.0740929,8500,2.7758333683013916
1589720117.4616127,9000,0.9475000500679016
1589720129.061961,9500,3.904714345932007
1589720139.3966556,10000,7.91354513168335
1589720149.5641267,10500,4.563666820526123
1589720159.7097652,11000,5.293142795562744
1589720171.7326682,11500,7.887181758880615
1589720181.1549852,12000,9.900416374206543
1589720192.5336735,12500,8.673199653625488
1589720203.4336457,13000,8.317285537719727
1589720214.4787762,13500,7.064499855041504
1589720224.2455997,14000,9.036571502685547
1589720236.3906615,14500,9.55968952178955
1589720246.9017534,15000,9.91433334350586
1589720258.1024258,15500,9.847726821899414
1589720267.8815072,16000,9.915356636047363
1589720279.8482811,16500,8.859000205993652
1589720289.6718345,17000,9.910833358764648
1589720301.7839255,17500,8.079833030700684
1589720311.416867,18000,9.88115406036377
1589720321.1189,18500,9.926094055175781
1589720332.8403018,19000,9.927297592163086
1589720343.5843143,19500,9.442375183105469
1589720354.974584,20000,9.892999649047852
1589720365.6048834,20500,8.495750427246094
1589720377.4755766,21000,9.896323204040527
1589720387.1556606,21500,9.27633285522461
1589720398.9112852,22000,9.546241760253906
1589720409.3341537,22500,9.910345077514648
1589720420.0682218,23000,9.649458885192871
1589720431.091459,23500,9.861739158630371
1589720442.8122578,24000,9.92064094543457
1589720452.9905238,24500,9.907647132873535
1589720464.0146556,25000,9.927874565124512
1589720474.8583877,25500,9.953021049499512
1589720486.2823873,26000,9.832381248474121
1589720496.359722,26500,9.912692070007324
1589720507.838467,27000,9.91528606414795
1589720518.082328,27500,9.892058372497559
1589720529.0522587,28000,9.94076919555664
1589720539.7633848,28500,9.8379545211792
1589720551.6623492,29000,9.909341812133789
1589720561.176455,29500,9.832954406738281
1589720572.953274,30000,9.939347267150879
1589720583.8322146,30500,9.90363597869873
1589720593.8542693,31000,9.845208168029785
1589720604.9338217,31500,9.86423110961914
1589720616.1332304,32000,9.893593788146973
1589720625.9881241,32500,9.918684005737305
1589720637.4253678,33000,9.926216125488281
1589720648.2685597,33500,9.926183700561523
1589720658.8021133,34000,9.914864540100098
1589720670.4569814,34500,9.911527633666992
1589720681.7465343,35000,9.932560920715332
1589720692.0482817,35500,9.913420677185059
1589720703.08246,36000,9.894332885742188
1589720714.2380748,36500,9.876428604125977
1589720724.5721042,37000,9.830769538879395
1589720735.17152,37500,9.811599731445312
1589720746.4966025,38000,9.39356517791748
1589720756.719277,38500,9.933536529541016
1589720768.053121,39000,9.93226146697998
1589720778.509408,39500,9.878000259399414
